"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 17:35:20 MSK 2024","Wed Jul 10 17:35:27 MSK 2024","6563","","E2E tests for wildberries","","","","should search for a product",""
"broken","Wed Jul 10 17:35:27 MSK 2024","Wed Jul 10 17:35:44 MSK 2024","17847","","E2E tests for wildberries","","","","should add a product to the cart",""
